,Interest,RepaymentPeriod,LoanAmount,EmployerName,InstallmentAmount,Boundery,LoanTypeName,YoB
910,10.0,1,6000.0,1,6000.0,1,7,1980.0
911,1.0,30,100000.0,1,3333.3333333333335,1,18,1988.0
912,1.25,48,100000.0,1,2083.3333333333335,1,20,1988.0
913,1.15,48,259188.0,1,5399.75,1,10,1988.0
914,1.25,72,665662.0,1,9245.305555555555,1,11,1988.0
915,1.0,12,70000.0,1,5833.333333333333,1,2,1983.0
919,1.0,24,100000.0,1,4166.666666666667,1,18,1986.0
920,1.0,12,20000.0,1,1666.6666666666667,1,2,1986.0
921,1.0,12,20000.0,1,1666.6666666666667,1,2,1986.0
922,1.0,12,50000.0,1,4166.666666666667,1,2,1986.0
923,1.0,30,222000.0,1,7400.0,1,18,1986.0
924,1.0,28,500000.0,1,17857.14285714286,1,18,1962.0
925,1.25,60,229441.0,1,3824.016666666667,1,11,1988.0
926,1.0,12,40000.0,1,3333.3333333333335,1,2,1988.0
927,1.0,12,25000.0,1,2083.3333333333335,1,2,1988.0
928,1.15,30,155000.0,1,5166.666666666667,1,17,1988.0
929,10.0,1,8000.0,1,8000.0,1,9,1988.0
930,1.0,30,160000.0,1,5333.333333333333,1,18,1987.0
931,1.25,48,195000.0,1,4062.5,1,20,1986.0
932,1.0,12,20000.0,1,1666.6666666666667,1,2,1986.0
933,10.0,1,4000.0,1,4000.0,1,7,1986.0
934,1.0,12,30000.0,0,2500.0,1,8,1967.0
935,1.0,12,40000.0,1,3333.3333333333335,1,2,1981.0
939,1.15,84,819825.0,1,9759.82142857143,1,10,1984.0
940,1.15,60,916163.0,1,15269.383333333333,1,10,1985.0
941,1.25,48,150000.0,0,3125.0,1,20,1986.0
942,10.0,1,8000.0,0,8000.0,1,9,1986.0
943,1.0,12,40000.0,1,3333.3333333333335,1,16,1986.0
944,1.25,48,198000.0,1,4125.0,1,20,1986.0
945,1.0,30,72000.0,1,2400.0,1,18,1986.0
946,1.0,30,53000.0,1,1766.6666666666667,1,18,1986.0
948,1.0,30,150000.0,1,5000.0,1,18,1989.0
949,1.15,84,484006.0,1,5761.976190476191,1,10,1977.0
950,10.0,1,10000.0,1,10000.0,1,9,1977.0
951,1.0,12,100000.0,1,8333.333333333334,1,2,1982.0
952,1.25,48,363000.0,1,7562.5,1,20,1977.0
953,1.25,48,849000.0,1,17687.5,1,11,1977.0
954,1.25,72,327375.0,1,4546.875,1,11,1982.0
955,10.0,1,6000.0,1,6000.0,1,9,1987.0
956,1.15,84,127650.0,1,1519.642857142857,1,10,1983.0
957,10.0,1,2000.0,1,2000.0,1,9,1960.0
958,1.25,48,427000.0,1,8895.833333333334,1,20,1960.0
959,1.0,12,10000.0,1,833.3333333333334,1,2,1960.0
960,1.15,72,632850.0,1,8789.583333333334,1,10,1960.0
961,10.0,1,16000.0,1,16000.0,1,7,1960.0
962,10.0,1,9000.0,1,9000.0,1,9,1986.0
963,1.0,12,16000.0,1,1333.3333333333333,1,2,1986.0
964,1.25,36,209250.0,1,5812.5,1,11,1986.0
965,1.0,30,132000.0,1,4400.0,1,18,1986.0
966,1.0,30,40000.0,1,1333.3333333333333,1,18,1986.0
967,1.25,48,200000.0,1,4166.666666666667,1,20,1986.0
968,1.0,30,60000.0,1,2000.0,1,4,1986.0
969,1.0,12,100000.0,1,8333.333333333334,1,2,1986.0
970,1.0,12,15000.0,1,1250.0,1,2,1986.0
971,1.0,30,225000.0,1,7500.0,1,18,1986.0
972,1.0,12,50000.0,1,4166.666666666667,1,2,1982.0
973,1.25,72,105307.0,1,1462.5972222222222,1,11,1982.0
974,10.0,1,10000.0,1,10000.0,1,9,1986.0
975,1.25,48,185000.0,1,3854.1666666666665,1,20,1986.0
976,10.0,1,5000.0,1,5000.0,1,7,1986.0
977,1.0,12,40000.0,1,3333.3333333333335,1,16,1986.0
978,1.0,30,167000.0,1,5566.666666666667,1,18,1986.0
979,1.0,12,20000.0,0,1666.6666666666667,1,8,1969.0
980,10.0,1,2500.0,1,2500.0,1,7,1986.0
981,1.15,72,474638.0,1,6592.194444444444,1,10,1986.0
983,1.25,48,210000.0,1,4375.0,1,20,1986.0
984,1.25,72,122766.0,1,1705.0833333333333,1,11,1986.0
985,1.0,30,237000.0,1,7900.0,1,18,1988.0
986,1.0,12,30000.0,0,2500.0,1,8,1955.0
987,10.0,1,1357.25,1,1357.25,1,9,1988.0
988,1.25,72,250988.0,1,3485.9444444444443,1,11,1988.0
989,10.0,1,4000.0,1,4000.0,1,7,1988.0
990,10.0,1,2000.0,1,2000.0,1,9,1988.0
991,1.25,48,206000.0,1,4291.666666666667,1,20,1988.0
992,1.15,72,105475.0,1,1464.9305555555557,1,10,1981.0
993,1.0,12,48000.0,1,4000.0,1,2,1981.0
994,1.0,12,98000.0,1,8166.666666666667,1,2,1985.0
995,1.0,12,28000.0,1,2333.3333333333335,1,16,1985.0
996,1.15,30,30000.0,1,1000.0,1,17,1985.0
997,1.25,48,300000.0,1,6250.0,1,20,1984.0
1000,1.0,12,15000.0,0,1250.0,1,8,1972.0
1001,1.15,72,179308.0,1,2490.3888888888887,1,10,1973.0
1002,1.15,84,210217.0,1,2502.5833333333335,1,10,1986.0
1003,1.0,12,30000.0,1,2500.0,1,2,1986.0
1004,1.25,72,545625.0,1,7578.125,1,11,1984.0
1005,1.0,7,35000.0,1,5000.0,1,16,1984.0
1006,1.25,72,478861.0,1,6650.847222222223,1,11,1969.0
1007,1.0,12,120000.0,1,10000.0,1,2,1969.0
1008,1.15,60,224836.0,1,3747.266666666667,1,10,1969.0
1009,1.0,30,38000.0,1,1266.6666666666667,1,18,1992.0
1010,1.0,12,200000.0,1,16666.666666666668,1,2,1986.0
1029,1.25,72,182239.0,1,2531.097222222222,1,11,1986.0
1030,1.25,48,354000.0,1,7375.0,1,20,1986.0
1031,1.0,12,50000.0,1,4166.666666666667,1,2,1990.0
1032,1.15,84,329762.0,1,3925.7380952380954,1,10,1990.0
1033,1.0,12,30000.0,0,2500.0,1,8,1961.0
1034,1.0,30,65000.0,1,2166.6666666666665,1,18,1983.0
1035,1.25,48,200000.0,1,4166.666666666667,1,20,1983.0
1036,1.0,30,66000.0,1,2200.0,1,18,1983.0
1037,1.0,30,115000.0,1,3833.3333333333335,1,18,1986.0
1038,1.0,30,30000.0,1,1000.0,1,18,1977.0
1041,10.0,1,9000.0,1,9000.0,1,7,1986.0
1042,1.0,30,225000.0,1,7500.0,1,18,1986.0
1043,1.0,24,150000.0,1,6250.0,1,18,1986.0
1044,1.0,12,15000.0,1,1250.0,1,2,1986.0
1045,1.0,12,28000.0,1,2333.3333333333335,1,2,1986.0
1046,1.0,30,112000.0,1,3733.3333333333335,1,18,1990.0
1047,1.0,12,21000.0,1,1750.0,1,2,1990.0
1048,1.0,12,15000.0,1,1250.0,1,2,1990.0
1049,1.0,12,30000.0,1,2500.0,1,2,1990.0
1050,10.0,1,1300.0,1,1300.0,1,13,1958.0
1051,1.25,48,241000.0,1,5020.833333333333,1,20,1958.0
