LoanTypeName,EmployerName,TheLoanBal,Boundery
2,1,50416,1
10,1,470580,1
10,1,113212,1
11,1,281905,1
7,1,9000,1
10,0,683126,1
2,1,49996,1
2,1,2500,1
2,1,16500,1
2,1,-3336,1
11,1,230188,1
9,1,2000,1
20,1,218746,1
4,1,52500,1
20,1,309416,1
9,1,10000,1
11,1,183725,1
7,1,9000,1
18,1,133330,1
2,1,13888,1
11,1,231725,1
7,1,5000,1
2,1,10000,1
18,1,72665,1
10,0,195716,1
11,1,457588,1
9,1,8500,1
11,0,129450,1
20,0,216103,1
7,0,12000,1
7,0,23000,1
11,0,1855125,1
10,0,1588862,1
20,1,405375,1
10,1,440650,1
18,1,65234,1
16,1,46664,1
20,1,310660,1
18,1,108000,1
11,1,685962,1
10,1,-4000,1
2,1,830,1
10,1,112062,1
10,1,345900,1
10,1,1002015,1
16,1,28416,1
11,1,318562,1
2,1,-4422,1
10,1,120795,1
2,1,15000,1
2,1,21332,1
2,1,18333,1
18,1,41625,1
10,1,144925,1
10,1,120406,1
18,1,82799,1
11,1,416031,1
10,1,107112,1
20,1,156309,1
16,1,9998,1
17,0,135333,1
18,0,200000,1
16,1,37500,1
2,1,100000,1
2,1,3750,1
18,1,19585,1
7,1,9000,1
10,1,136858,1
17,1,198562,1
9,1,5000,1
20,1,225000,1
9,0,10000,1
6,0,60750,1
18,0,60000,1
18,1,29200,1
7,1,1400,1
20,1,85248,1
16,1,18000,1
9,1,-121.05,1
7,1,13000,1
9,1,4460,1
18,1,153331,1
2,1,-315,1
2,1,41666,1
20,1,171592,1
16,1,16665,1
9,1,10000,1
9,1,5000,1
17,1,20525.65,1
9,1,-786.3,1
11,1,72150,1
20,1,222732,1
10,1,655725,1
2,1,18660,1
11,1,200055,1
2,0,33100,1
2,1,20831,1
11,1,363225,1
20,1,95832,1
10,0,595740,1
2,1,64166,1
10,0,308978,1
10,0,187199,1
18,1,65000,1
11,1,581998,1
17,1,31500,1
9,1,1239,1
20,1,290000,1
7,1,7500,1
10,0,1042750,1
18,1,143000,1
2,1,25000,1
2,1,29165,1
2,1,10000,1
17,1,122662,1
20,1,256664,1
10,1,282142,1
2,1,7500,1
20,1,210000,1
16,1,5830,1
7,1,4000,1
2,0,1864,1
18,1,8000,1
17,0,149332,1
11,0,392337,1
2,1,41655,1
2,1,20000,1
11,1,-6379,1
10,1,194128,1
20,1,77916,1
11,1,536450,1
11,1,110030,1
4,1,-3500,1
9,1,7000,1
18,1,38666,1
10,0,209500,1
10,1,157804,1
10,0,726525,1
18,1,-5485.33,1
18,1,-2400,1
4,0,-4,1
20,1,229330,1
20,1,89580,1
18,1,14664,1
9,0,9000,1
20,0,153332,1
18,1,3700,1
2,1,33332,1
6,1,54000,1
9,1,6535,1
10,1,399755,1
4,1,-5300,1
4,1,64990,1
10,0,1607736,1
7,0,60000,1
6,0,267270.02,1
20,1,244996,1
7,1,14000,1
2,1,3000,1
9,1,-5.64,1
9,1,-0.65,1
11,1,337059.79,1
9,1,-0.97,1
20,1,235000,1
9,1,-11.02,1
9,1,4900,1
20,1,398666,1
18,1,26662,1
10,0,906310,1
2,1,8330,1
2,1,120830,1
18,1,166665,1
2,0,8747,1
13,0,4500,1
6,1,64600,1
10,1,-0.5,1
10,0,770812,1
10,1,197551,1
2,1,-1084,1
11,1,289950,1
2,1,-2667,1
10,1,-2528,1
18,1,196000,1
2,1,16730,1
9,1,3000,1
9,1,-19.52,1
2,1,12500,1
17,1,137700,1
18,1,56658,1
1,0,2700000,1
2,1,-2500,1
20,1,181664,1
18,1,-1168,1
11,1,159138,1
10,1,627450,1
4,1,-12400,1
11,1,233588,1
2,1,-1500,1
11,1,395088,1
4,1,-22400,1
7,1,13000,1
20,1,540000,1
7,1,35000,1
11,1,761598,1
2,1,24660,1
11,1,369785,1
18,1,-2000,1
18,1,85000,1
9,1,4000,1
9,1,-21.51,1
9,1,3000,1
20,1,180248,1
18,0,100000,1
2,1,29166,1
2,1,18328,1
2,1,19996,1
2,1,11664,1
18,1,55000,1
20,1,31660,1
2,1,26660,1
7,1,6000,1
2,1,-6667,1
10,0,410180,1
18,1,56000,1
18,1,143750,1
2,1,-3750,1
11,1,290545,1
10,1,702274,1
11,1,76411,1
2,1,18160,1
11,1,171562,1
18,1,125000,1
4,0,-372,1
18,1,106250,1
7,0,4000,1
20,0,275916,1
16,0,8332,1
9,1,4500,1
18,1,17000,1
11,1,774484,1
2,1,-3000,1
9,1,10000,1
18,1,130000,1
7,1,5000,1
9,1,1200,1
20,1,230000,1
10,1,-0.85,1
18,1,54881,1
2,1,21749,1
18,1,24000,1
9,1,-182,1
18,1,65000,1
7,1,7500,1
9,1,9860,1
9,1,-944.81,1
9,1,-73.97,1
2,1,16664,1
2,1,64996,1
11,1,112614,1
11,1,298046,1
10,1,-0.5,1
10,1,-5556,1
11,1,568542,1
11,1,340101,1
10,1,334975,1
18,1,-2000,1
11,1,115875,1
7,1,17000,1
11,1,175802,1
17,1,69332,1
10,0,444440,1
20,1,149998,1
9,1,-34.73,1
9,1,-22.87,1
9,1,-40.63,1
9,1,3700,1
9,1,-11.49,1
9,1,-1.64,1
9,1,-97.53,1
18,1,23400,1
7,1,3500,1
2,1,-3335,1
10,1,88506,1
2,1,-1670,1
18,1,-742,1
20,0,191666,1
9,0,6900,1
10,1,373576,1
10,1,569650,1
18,1,115000,1
11,1,149048,1
18,1,-2834,1
10,1,430075,1
2,1,73333,1
11,1,691600,1
20,1,231562,1
11,1,140043,1
7,1,6000,1
11,1,73178,1
20,1,79434,1
20,1,46656,1
10,0,1184057,1
20,0,183332,1
18,0,14938,1
2,0,19500,1
16,1,10000,1
20,1,5397,1
3,0,750000,1
2,0,38000,1
9,0,6000,1
10,1,76841,1
20,0,98080,1
20,1,26648,1
2,1,71428,1
18,0,64000,1
2,0,10000,1
10,1,-7958.9,1
10,1,433050,1
